"","RiskPerformance","ExternalRiskEstimate","MSinceOldestTradeOpen","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","NumTrades90Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTotalTrades","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NumInqLast6Mexcl7days","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance"
"1","Good",85,141,12,71,14,0,0,100,83,"7","8",16,0,21,24,0,0,1,47,2,2,0,44
"2","Bad",65,115,8,55,7,2,2,78,67,"5","2",9,1,56,24,0,0,78,77,2,1,1,75
"3","Bad",67,123,8,53,17,0,0,94,-8,"6","6",18,2,39,24,1,1,53,39,6,3,2,82
"4","Bad",64,260,1,61,17,1,1,95,6,"2","4",23,5,26,24,0,0,68,88,3,2,1,71
"5","Good",72,292,8,74,22,0,0,96,5,"4","6",77,4,22,0,4,4,7,57,2,3,0,38
"6","Bad",55,137,6,63,34,0,0,94,1,"4","6",34,4,44,0,1,1,56,61,7,4,3,73
"7","Bad",70,52,17,42,8,0,0,100,83,"7","8",8,0,38,24,0,0,95,-8,3,1,2,67
"8","Bad",62,181,6,52,21,0,0,100,83,"7","8",21,2,38,0,2,2,81,74,4,4,2,62
"9","Bad",76,94,2,36,8,0,0,100,83,"7","8",9,3,56,0,1,1,35,96,1,2,0,60
"10","Good",85,327,42,136,15,0,0,93,44,"6","6",15,0,47,0,2,2,0,-8,0,3,0,50
"11","Good",78,221,4,108,13,0,0,100,83,"7","8",15,1,40,3,4,4,90,-8,2,2,2,80
"12","Good",80,163,3,71,33,0,0,100,83,"7","8",33,2,9,0,1,1,3,62,5,2,1,32
"13","Good",69,91,18,53,36,0,0,100,83,"7","8",41,0,33,4,1,1,72,53,8,5,2,87
"14","Good",73,238,2,101,44,2,1,87,6,"4","2",50,2,13,0,2,2,5,-8,4,1,0,29
"15","Bad",63,246,5,113,10,0,0,90,5,"4","6",10,1,20,6,0,0,97,-8,5,1,4,86
"16","Good",69,194,9,81,44,1,0,98,40,"6","5",45,3,44,2,1,1,45,96,5,4,0,75
"17","Good",72,253,2,70,30,1,0,94,55,"6","5",34,5,38,3,2,2,15,99,8,3,0,67
"18","Bad",69,300,5,66,31,0,0,100,83,"7","8",36,7,16,24,1,1,44,51,9,3,2,60
"19","Bad",83,-8,9,88,31,0,0,94,14,"6","6",0,2,22,1,1,1,6,100,3,2,0,63
"20","Bad",65,266,2,96,25,3,3,89,10,"4","6",31,4,57,0,0,0,27,95,8,4,1,87
"21","Good",87,163,84,109,9,0,0,100,83,"7","8",9,0,33,-8,0,0,28,-8,3,1,0,67
"22","Bad",68,221,7,89,19,4,0,83,53,"6","5",23,1,39,0,0,0,70,100,2,2,2,40
"23","Bad",61,388,8,80,11,0,0,82,21,"6","6",11,2,36,0,1,1,71,-8,4,1,3,63
"24","Good",74,206,9,66,16,0,0,100,83,"7","8",37,1,25,24,2,2,52,56,6,2,1,73
"25","Bad",68,209,5,110,43,1,0,88,13,"5","5",48,2,54,24,1,1,51,90,10,3,2,76
"26","Bad",73,210,9,138,49,0,0,94,5,"4","6",41,3,57,24,3,3,9,53,5,10,0,75
"27","Bad",86,321,10,104,10,0,0,100,83,"7","8",11,1,45,-8,0,0,2,-8,4,1,2,83
"28","Good",74,306,4,91,34,0,0,97,60,"6","6",37,2,26,24,2,2,12,78,7,4,0,67
"29","Good",76,38,8,21,4,0,0,100,83,"7","8",4,1,50,0,1,1,0,45,0,2,0,67
"30","Bad",71,90,6,50,16,0,0,100,83,"7","8",16,1,75,0,1,1,99,99,2,1,2,100
"31","Bad",54,191,5,89,11,6,4,73,22,"0","2",14,3,40,4,1,1,15,73,2,1,0,75
"32","Good",58,14,1,6,3,0,0,100,83,"7","8",5,4,40,24,15,15,98,-8,2,2,1,80
"33","Bad",60,151,32,79,8,2,0,80,5,"3","5",10,0,10,0,0,0,112,-8,3,-8,1,60
"34","Bad",82,324,43,137,9,0,0,90,79,"6","6",10,0,20,0,2,2,2,-8,1,-8,0,25
"35","Bad",65,116,10,37,14,1,1,93,72,"6","2",15,1,13,0,2,2,52,-8,3,1,2,56
"36","Bad",76,152,2,65,26,0,0,97,83,"5","7",29,4,34,24,4,4,25,56,6,5,0,81
"37","Bad",65,155,7,68,29,1,1,87,22,"5","2",31,1,58,3,1,1,59,67,4,2,0,60
"38","Bad",66,120,3,60,23,1,0,83,22,"5","5",30,2,17,24,2,1,44,70,4,2,0,67
"39","Good",80,219,3,92,18,0,0,100,83,"7","8",20,2,20,5,0,0,41,100,5,2,1,88
"40","Good",74,99,2,47,15,0,0,81,17,"6","6",16,2,50,24,0,0,0,75,0,2,0,33
"41","Good",86,456,31,181,18,0,0,100,83,"7","8",18,0,22,0,0,0,14,-8,1,2,0,33
"42","Good",83,196,29,82,21,0,0,100,83,"7","8",35,0,57,17,0,0,2,51,1,4,0,63
"43","Bad",61,61,4,25,23,0,0,96,10,"4","6",23,5,52,3,3,3,30,87,6,6,0,100
"44","Bad",83,186,9,79,25,0,0,100,83,"7","8",25,1,20,0,1,1,15,-8,3,1,0,57
"45","Good",73,347,8,120,37,1,1,95,22,"6","4",53,2,46,0,1,1,66,84,5,2,2,70
"46","Bad",57,47,4,21,5,0,0,80,32,"6","6",5,1,60,24,3,3,97,84,2,3,1,100
"47","Good",83,152,2,74,10,0,0,85,37,"6","6",16,4,15,5,0,0,8,-8,5,-8,0,63
"48","Good",82,233,2,92,56,0,0,100,83,"7","8",66,9,49,0,1,1,8,64,2,13,2,62
"49","Bad",56,78,8,40,14,2,2,81,5,"4","6",18,3,19,0,0,0,22,89,2,2,1,50
"50","Bad",68,223,4,81,25,3,1,76,12,"5","4",29,5,28,15,0,0,33,96,4,3,1,50
"51","Bad",77,191,4,76,20,0,0,100,83,"7","8",20,2,35,0,3,2,69,17,2,2,1,63
"52","Bad",56,166,2,55,28,3,2,78,1,"4","2",32,3,28,1,1,1,43,85,13,4,4,81
"53","Bad",64,237,13,88,7,3,3,70,18,"6","3",10,0,70,24,0,0,34,88,1,1,0,67
"54","Bad",65,177,17,96,6,0,0,43,5,"4","6",7,0,57,24,1,1,31,76,1,2,-8,100
"55","Good",68,166,3,37,16,0,0,100,83,"7","8",16,5,25,0,5,5,66,87,6,2,2,67
"56","Good",75,260,28,126,22,0,0,100,83,"7","8",22,0,14,0,0,0,47,-8,6,1,3,57
"57","Good",86,358,3,100,28,0,0,97,-8,"6","6",29,2,34,5,0,0,0,-8,1,-8,0,17
"58","Bad",66,133,14,66,32,0,0,97,-8,"6","6",28,0,33,24,3,3,64,80,8,3,4,79
"59","Bad",67,166,17,65,14,0,0,100,83,"7","8",14,0,36,24,1,1,66,58,7,4,3,92
"60","Good",73,288,2,82,14,0,0,93,5,"4","6",17,1,20,0,2,2,4,69,2,3,0,63
"61","Bad",56,213,3,71,18,2,0,70,1,"3","5",20,4,10,0,1,1,9,-8,4,1,0,56
